step,value
0,0
1,1
2,2
3,3
4,4
5,3
6,2
7,1
8,0
9,-1
10,0
11,-1
12,0
13,-1
14,-2
15,-3
16,-4
17,-3
18,-4
19,-3
20,-2
21,-1
22,-2
23,-3
24,-2
25,-3
26,-2
27,-3
28,-4
29,-3
30,-4
31,-5
32,-4
33,-3
34,-2
35,-3
36,-2
37,-1
38,0
39,-1
40,0
41,-1
42,-2
43,-3
44,-4
45,-3
46,-4
47,-5
48,-6
49,-7
50,-6
51,-5
52,-4
53,-3
54,-4
55,-5
56,-4
57,-5
58,-6
59,-7
60,-8
61,-9
62,-10
63,-11
64,-10
65,-9
66,-10
67,-11
68,-10
69,-9
70,-8
71,-9
72,-8
73,-7
74,-8
75,-7
76,-8
77,-7
78,-6
79,-7
80,-6
81,-5
82,-4
83,-5
84,-6
85,-7
86,-6
87,-7
88,-8
89,-7
90,-6
91,-5
92,-6
93,-7
94,-6
95,-5
96,-6
97,-5
98,-6
99,-7
100,-6
101,-7
102,-6
103,-7
104,-6
105,-7
106,-6
107,-5
108,-6
109,-5
110,-4
111,-5
112,-6
113,-5
114,-4
115,-5
116,-6
117,-7
118,-8
119,-7
120,-6
121,-5
122,-6
123,-5
124,-4
125,-5
126,-4
127,-5
128,-6
129,-5
130,-4
131,-3
132,-4
133,-3
134,-2
135,-3
136,-2
137,-3
138,-4
139,-5
140,-6
141,-7
142,-8
143,-9
144,-8
145,-7
146,-8
147,-9
148,-8
149,-7
150,-6
151,-7
152,-6
153,-7
154,-6
155,-5
156,-6
157,-7
158,-8
159,-9
160,-8
161,-7
162,-8
163,-7
164,-8
165,-9
166,-10
167,-11
168,-12
169,-13
170,-12
171,-13
172,-14
173,-13
174,-14
175,-15
176,-16
177,-17
178,-16
179,-15
180,-14
181,-13
182,-12
183,-13
184,-14
185,-13
186,-14
187,-13
188,-14
189,-13
190,-12
191,-11
192,-12
193,-13
194,-12
195,-13
196,-12
197,-11
198,-12
199,-11
200,-10
201,-9
202,-10
203,-9
204,-8
205,-7
206,-8
207,-9
208,-10
209,-11
210,-12
211,-11
212,-12
213,-13
214,-12
215,-11
216,-12
217,-11
218,-10
219,-9
220,-8
221,-7
222,-6
223,-5
224,-6
225,-7
226,-8
227,-9
228,-10
229,-9
230,-8
231,-9
232,-8
233,-7
234,-6
235,-7
236,-8
237,-9
238,-8
239,-7
240,-8
241,-7
242,-6
243,-7
244,-6
245,-7
246,-8
247,-7
248,-8
249,-7
250,-6
251,-5
252,-4
253,-5
254,-6
255,-5
256,-6
257,-7
258,-8
259,-9
260,-10
261,-11
262,-10
263,-11
264,-10
265,-9
266,-8
267,-7
268,-6
269,-5
270,-4
271,-3
272,-4
273,-5
274,-4
275,-3
276,-2
277,-1
278,-2
279,-1
280,0
281,-1
282,-2
283,-3
284,-4
285,-5
286,-6
287,-5
288,-4
289,-5
290,-6
291,-7
292,-8
293,-7
294,-8
295,-9
296,-8
297,-7
298,-8
299,-9
300,-10
301,-11
302,-10
303,-11
304,-12
305,-11
306,-12
307,-11
308,-12
309,-11
310,-12
311,-11
312,-10
313,-9
314,-8
315,-7
316,-8
317,-9
318,-10
319,-9
320,-10
321,-11
322,-12
323,-13
324,-14
325,-13
326,-12
327,-11
328,-10
329,-11
330,-10
331,-11
332,-10
333,-9
334,-8
335,-9
336,-8
337,-7
338,-8
339,-7
340,-6
341,-5
342,-6
343,-7
344,-8
345,-7
346,-8
347,-7
348,-8
349,-9
350,-8
351,-9
352,-8
353,-9
354,-8
355,-9
356,-8
357,-9
358,-8
359,-9
360,-10
361,-11
362,-10
363,-11
364,-12
365,-11
366,-10
367,-9
368,-10
369,-11
370,-12
371,-13
372,-14
373,-15
374,-16
375,-17
376,-16
377,-15
378,-16
379,-15
380,-14
381,-15
382,-16
383,-17
384,-18
385,-19
386,-18
387,-17
388,-18
389,-17
390,-18
391,-17
392,-16
393,-17
394,-16
395,-17
396,-16
397,-15
398,-16
399,-17
400,-18
401,-17
402,-18
403,-19
404,-20
405,-21
406,-22
407,-21
408,-22
409,-21
410,-22
411,-21
412,-20
413,-19
414,-20
415,-21
416,-22
417,-23
418,-24
419,-23
420,-24
421,-23
422,-24
423,-23
424,-22
425,-23
426,-24
427,-23
428,-24
429,-25
430,-24
431,-25
432,-24
433,-25
434,-24
435,-25
436,-26
437,-27
438,-26
439,-27
440,-28
441,-29
442,-30
443,-29
444,-28
445,-29
446,-28
447,-27
448,-28
449,-27
450,-28
451,-29
452,-28
453,-27
454,-26
455,-25
456,-24
457,-23
458,-24
459,-23
460,-24
461,-25
462,-26
463,-25
464,-26
465,-27
466,-28
467,-29
468,-28
469,-29
470,-30
471,-29
472,-30
473,-29
474,-28
475,-29
476,-28
477,-27
478,-26
479,-25
480,-26
481,-27
482,-26
483,-25
484,-24
485,-23
486,-22
487,-23
488,-22
489,-23
490,-22
491,-21
492,-20
493,-21
494,-20
495,-21
496,-20
497,-19
498,-20
499,-21
500,-22
501,-23
502,-24
503,-23
504,-24
505,-23
506,-22
507,-21
508,-22
509,-23
510,-22
511,-21
512,-20
513,-21
514,-22
515,-21
516,-20
517,-19
518,-18
519,-17
520,-18
521,-19
522,-20
523,-19
524,-20
525,-19
526,-20
527,-19
528,-18
529,-17
530,-16
531,-17
532,-18
533,-19
534,-18
535,-19
536,-20
537,-21
538,-20
539,-21
540,-20
541,-19
542,-18
543,-19
544,-20
545,-19
546,-20
547,-21
548,-20
549,-21
550,-22
551,-21
552,-20
553,-21
554,-20
555,-19
556,-18
557,-17
558,-18
559,-17
560,-18
561,-19
562,-18
563,-17
564,-16
565,-17
566,-18
567,-17
568,-16
569,-17
570,-16
571,-15
572,-14
573,-13
574,-14
575,-15
576,-16
577,-15
578,-16
579,-15
580,-14
581,-15
582,-14
583,-15
584,-16
585,-15
586,-16
587,-15
588,-16
589,-17
590,-18
591,-17
592,-18
593,-19
594,-20
595,-19
596,-20
597,-19
598,-18
599,-17
600,-18
601,-17
602,-18
603,-17
604,-16
605,-15
606,-16
607,-17
608,-16
609,-17
610,-18
611,-17
612,-18
613,-17
614,-16
615,-15
616,-16
617,-15
618,-16
619,-15
620,-14
621,-13
622,-12
623,-13
624,-14
625,-15
626,-16
627,-15
628,-14
629,-13
630,-14
631,-15
632,-14
633,-13
634,-14
635,-15
636,-14
637,-13
638,-14
639,-15
640,-16
641,-15
642,-16
643,-15
644,-16
645,-15
646,-16
647,-17
648,-18
649,-19
650,-20
651,-21
652,-20
653,-19
654,-20
655,-21
656,-22
657,-21
658,-22
659,-21
660,-22
661,-21
662,-22
663,-23
664,-24
665,-25
666,-24
667,-23
668,-22
669,-23
670,-24
671,-23
672,-22
673,-21
674,-20
675,-19
676,-18
677,-19
678,-18
679,-19
680,-20
681,-21
682,-22
683,-23
684,-24
685,-23
686,-24
687,-25
688,-24
689,-25
690,-26
691,-27
692,-28
693,-29
694,-30
695,-29
696,-28
697,-29
698,-28
699,-27
700,-26
701,-27
702,-28
703,-29
704,-28
705,-27
706,-26
707,-25
708,-24
709,-25
710,-24
711,-23
712,-24
713,-25
714,-24
715,-25
716,-26
717,-25
718,-26
719,-25
720,-26
721,-27
722,-26
723,-27
724,-28
725,-29
726,-28
727,-27
728,-26
729,-27
730,-26
731,-25
732,-26
733,-27
734,-28
735,-27
736,-28
737,-29
738,-28
739,-27
740,-28
741,-29
742,-30
743,-29
744,-30
745,-31
746,-32
747,-31
748,-32
749,-31
750,-32
751,-31
752,-30
753,-31
754,-32
755,-31
756,-30
757,-29
758,-28
759,-27
760,-26
761,-25
762,-26
763,-25
764,-24
765,-23
766,-22
767,-23
768,-24
769,-23
770,-22
771,-23
772,-22
773,-21
774,-22
775,-23
776,-22
777,-23
778,-24
779,-23
780,-24
781,-23
782,-24
783,-23
784,-24
785,-23
786,-22
787,-23
788,-24
789,-25
790,-24
791,-23
792,-24
793,-25
794,-24
795,-25
796,-26
797,-27
798,-26
799,-25
800,-24
801,-25
802,-24
803,-25
804,-26
805,-27
806,-26
807,-27
808,-26
809,-25
810,-26
811,-25
812,-24
813,-23
814,-22
815,-21
816,-22
817,-21
818,-22
819,-23
820,-22
821,-23
822,-22
823,-23
824,-24
825,-25
826,-24
827,-25
828,-26
829,-25
830,-24
831,-23
832,-24
833,-23
834,-24
835,-23
836,-24
837,-25
838,-26
839,-25
840,-24
841,-23
842,-22
843,-23
844,-22
845,-21
846,-20
847,-19
848,-20
849,-19
850,-20
851,-19
852,-18
853,-17
854,-18
855,-19
856,-18
857,-17
858,-16
859,-15
860,-16
861,-17
862,-16
863,-15
